,id_x,synopsis,movie_rating,genre,director,writer,theater_date,dvd_date,currency,box_office,runtime,studio,review,review_rating,fresh,critic,top_critic,publisher,date,Unnamed: 0,id_y,release_date,movie,production_budget,domestic_gross,worldwide_gross,movie_id,primary_title,original_title,start_year,runtime_minutes,genres,averagerating,numvotes,roi
19,1083,"Hollywood 1927. George Valentin (Jean Dujardin) is a silent movie superstar. The advent of the talkies will sound the death knell for his career and see him fall into oblivion. For young extra Peppy Miller (Berenice Bejo), it seems the sky's the limit - major movie stardom awaits. The Artist tells the story of their interlinked destinies. -- (C) Weinstein",PG-13,Comedy|Drama|Romance,Michel Hazanavicius,Michel Hazanavicius,2011-11-25,"Jun 26, 2012",$,44667095,100.0,The Weinstein Company,There are scenes here with the potential to become genuinely iconic.,1.0,fresh,Emma Dibdin,0,The Arts Desk,"May 21, 2018",1519,34,2011-11-25,The Artist,16000000,44667095,128256712,tt1825978,The Artist,The Artist,2011,100.0,['Thriller'],6.8,6,8.0160445
20,1084,"Shy, sensitive April (Emma Roberts) is the class virgin -a popular soccer player and frequent babysitter for her single-dad coach, Mr. B. (James Franco). Teddy (Jack Kilmer) is an introspective artist whose best friend and sidekick Fred (Nat Wolff) is an unpredictable live wire with few filters or boundaries. While April negotiates a dangerous affair with Mr. B., and Teddy performs community service for a DUI - secretly carrying a torch for April, who may or may not share his affection - Fred seduces Emily (Zoe Levin), a promiscuous loner who seeks validation through sexual encounters. One high school party bleeds into another as April and Teddy finally acknowledge their mutual affection, and Fred's escalating recklessness spirals into chaos. (C) Tribeca",R,Drama,Gia Coppola,Gia Coppola,2014-05-09,"Sep 9, 2014",$,406235,100.0,Tribeca Film,A meandering contemplation on teen angst but with nothing new or interesting to say about it.,0.2,rotten,Jennifer Heaton,0,Alternative Lens,"November 1, 2018",2617,58,2014-05-09,Palo Alto,1000000,767732,1156309,tt2479800,Palo Alto,Palo Alto,2013,100.0,['Drama'],6.2,25402,1.156309
21,1114,"When four lifelong friends-Regina Hall, Queen Latifah, Jada Pinkett Smith and Tiffany Haddish-travel to New Orleans for the annual Essence Festival, sisterhoods are rekindled, wild sides are rediscovered, and there's enough dancing, drinking, brawling and romancing to make the Big Easy blush. James Lopez, head of motion pictures for Will Packer Productions, and Preston Holmes, executive produce.",R,Comedy|Drama,,Kenya Barris|Tracy Oliver,2017-07-21,"Oct 17, 2017",$,115088305,122.0,Universal Pictures,"It's just too bad that a film purporting to espouse female empowerment has to resort to simulated fellatio, public urination, and full-frontal male nudity in order to get its biggest laughs.",0.38,rotten,David N. Butterworth,0,La Movie Boeuf,"November 25, 2018",1066,36,2017-07-21,Girls Trip,28000000,115108515,140886353,tt3564472,Girls Trip,Girls Trip,2017,122.0,"['Comedy', 'Drama']",6.2,29321,5.0316554642857145
22,1169,"From masters of horror Blumhouse Productions- producer of THE PURGE, INSIDIOUS and SINISTER franchises- THE LAZARUS EFFECT follows a group of researchers led by Frank (Mark Duplass) and his fianc",PG-13,Horror,David Gelb,Luke Dawson|Jeremy Slater,2015-02-27,"Jun 16, 2015",$,20467547,83.0,Relativity Media,"While the storyline is not the most original, this film still gives a few good scares. ",0.65,fresh,Molly Henery,0,The Blogging Banshee,"November 2, 2018",2150,76,2015-02-27,The Lazarus Effect,5000000,25801570,38359310,tt2918436,The Lazarus Effect,The Lazarus Effect,2015,83.0,"['Horror', 'Mystery', 'Sci-Fi']",5.2,37675,7.671862
23,1231,"THE ROVER, David Michod's highly anticipated follow-up to ANIMAL KINGDOM, is set in a world 10 years following the collapse of society. The rule of the law has disintegrated and life is cheap. The film follows hardened loner Eric (Pearce) as he travels the desolate towns and roads of the outback. When a gang of thieves steals his car they leave behind a wounded Rey (Pattinson) in their wake. Forcing Rey to help track the gang, Eric will go to any lengths to take back the one thing that still matters to him. Michod also wrote the film based on a story he conceived with Joel Edgerton. (c) A24",R,Mystery and Suspense|Science Fiction and Fantasy|Western,,,2014-06-13,"Sep 23, 2014",$,709133,103.0,A24 Films,"Poor plot aside, it boasts two stellar performances.",0.4,rotten,Debashine Thangevelo,0,Independent Online (South Africa),"March 28, 2016",1956,47,2014-06-13,The Rover,8500000,1109199,3180252,tt2345737,The Rover,The Rover,2014,103.0,"['Action', 'Crime', 'Drama']",6.4,40576,0.3741472941176471
24,1237,"Sarah Jessica Parker, Greg Kinnear, Pierce Brosnan, Olivia Munn and Christina Hendricks star in I Don't Know How She Does It, a comedy from director Douglas McGrath (Emma, Infamous) and producer Donna Gigliotti (The Reader, Let Me In). Based on the critically acclaimed bestseller by Allison Pearson, I Don't Know How She Does It follows a Boston-based working mother trying desperately to juggle marriage, children, and a high-stress job. -- (C) Weinstein",PG-13,Comedy,Douglas McGrath,Aline Brosh McKenna,2011-09-16,"Jan 3, 2012",$,9500000,89.0,The Weinstein Co.,"Let's face it; Parker and the rest of the cast could do this with their eyes closed. It's the cinematic equivalent of a ""stop gap"" -- just something to fill in the time until a proper role comes along. ",0.4,rotten,Cleaver Patterson,0,CineVue,"November 26, 2018",1230,58,2011-09-16,I Don't Know How She Does It,24000000,9659074,24474463,tt1742650,I Don't Know How She Does It,I Don't Know How She Does It,2011,89.0,"['Comedy', 'Romance']",4.9,18552,1.0197692916666667
25,1265,"Beth (Diane Keaton) saves a bedraggled lost dog from the side of the freeway on a wintry day in Denver. Struggling with her distracted, self-involved husband Joseph (Kevin Kline) and an empty nest at home, Beth forms a special bond with the rescued animal. When Joseph loses the dog after their daughter's (Elisabeth Moss) wedding at their vacation home in the Rockies, Beth, distraught and angry with Joseph, enlists the help of the few remaining guests (Dianne Wiest, Richard Jenkins, Mark Duplass) and a mysterious woman (Ayelet Zurer) in a frantic search. -- (C) Sony Classics",PG-13,Comedy|Drama,Lawrence Kasdan,Lawrence Kasdan|Meg Kasdan,2012-04-20,"Aug 28, 2012",$,793352,103.0,Sony Pictures Classics,"This film is intelligent and beautifully acted. It's a movie about a group of people searching for a lost dog for days, and I never once looked at my watch.",0.8,fresh,Debbie Baldwin,0,Ladue News,"November 20, 2018",1749,34,2012-04-20,Darling Companion,12000000,793352,1200346,tt1730687,Darling Companion,Darling Companion,2012,103.0,"['Comedy', 'Drama', 'Romance']",5.1,3085,0.1000288333333333
26,1334,"Dating guru Matthew Taylor (Shemar Moore) falls for celebrity therapist Kristin Peralta (Nadine Velazquez) while he does a book tour to promote his best-selling self-help guide. In time, their relationship forces him to confront his issues stemming from a prior breakup. Directed by Youssef Delara.",PG-13,Comedy|Romance,Youssef Delara,Victor Teran|Youssef Delara|Staci Robinson,2016-12-09,"Apr 4, 2017",$,320676,104.0,,Predictable romcom will appeal most to adults. ,0.4,rotten,Sandie Angulo,0,Common Sense Media,"February 10, 2017",2368,39,2016-12-09,The Bounce Back,3000000,321910,421404,tt3253232,The Bounce Back,The Bounce Back,2016,104.0,"['Comedy', 'Romance']",5.0,492,0.140468
27,1362,"BLACK OR WHITE is the story of a grandfather (Academy Award (R) winner Kevin Costner) who is suddenly left to care for his beloved granddaughter. When her paternal grandmother (Academy Award (R) winner Octavia Spencer) seeks custody with the help of her brother (Anthony Mackie), the little girl is torn between two families who love her deeply. With the best intentions at heart, both families fight for what they feel is right and are soon forced to confront their true feelings about race, forgiveness, and understanding. Anchored by an all-star cast and based on real events, the movie is a look at two seemingly different worlds, in which nothing is as simple as black or white. (C) Relativity",PG-13,Drama,Mike Binder,Mike Binder,2015-01-30,"May 5, 2015",$,15504419,90.0,,"Simply casting too wide a net to feel truly satisfying. In trying to be color blind, it just comes off as tone deaf.",0.47,rotten,Zaki Hasan,0,Zaki's Corner,"November 2, 2018",2565,38,2015-01-30,Above and Beyond,1300000,288751,288751,tt2704752,Above and Beyond,Above and Beyond,2014,90.0,"['Adventure', 'Documentary', 'History']",7.7,506,0.2221161538461538
28,1398,"A heartfelt tale of inspiration, hope and redemption, ""Letters to God"" is the story of what happens when one boy's walk of faith crosses paths with one man's search for meaning -- the resulting transformational journey touches the lives of everyone around them.",PG,Drama|Kids and Family|Faith and Spirituality,David Nixon|Patrick Doughtie,,2010-04-09,"Aug 10, 2010",$,1121000,110.0,Vivendi Entertainment,This drama is unabashedly preachy but satisfying nevertheless.,0.6,fresh,John Hanlon,0,Big Hollywood,"November 21, 2012",2352,25,2010-04-09,Letters to God,3000000,2848587,3237452,tt1462054,Letters to God,Letters to God,2010,110.0,"['Drama', 'Family']",6.3,4443,1.0791506666666666
29,1399,"Imagine the end of the world. Now imagine something worse. Award-winning filmmaker Trey Edward Shults follows his incredible debut feature KRISHA with IT COMES AT NIGHT, a horror film following a man (Joel Edgerton) as he learns that the evil stalking his family home may be only a prelude to horrors that come from within. Secure within a desolate home as an unnatural threat terrorizes the world, the tenuous domestic order he has established with his wife and son is put to the ultimate test with the arrival of a desperate young family seeking refuge. Despite the best intentions of both families, paranoia and mistrust boil over as the horrors outside creep ever-closer, awakening something hidden and monstrous within him as he learns that the protection of his family comes at the cost of his soul.",R,Drama|Horror,Trey Edward Shults,Trey Edward Shults,2017-06-09,"Sep 12, 2017",$,13985117,91.0,A24,It Comes at Night combines the post-apocalyptic interpersonal conflict of the late George Romero with haunting imagery and an unrelenting sense of fear.,0.8,fresh,Jennifer Heaton,0,Alternative Lens,"November 11, 2018",2166,4,2017-06-09,It Comes at Night,5000000,13985117,19720203,tt4695012,It Comes at Night,It Comes at Night,2017,91.0,"['Horror', 'Mystery']",6.2,69039,3.9440406
30,1561,"The third installment of director Edgar Wright's trilogy of comedies starring Simon Pegg and Nick Frost, following the successes ""Shaun of the Dead"" (2004) and ""Hot Fuzz"" (2007). In ""The World's End,"" 20 years after attempting an epic pub crawl, five childhood friends reunite when one of them becomes hellbent on trying the drinking marathon again. They are convinced to stage an encore by Gary King (Simon Pegg), a 40-year-old man trapped at the cigarette end of his teens, who drags his reluctant pals to their hometown and once again attempts to reach the fabled pub - The World's End. As they attempt to reconcile the past and present, they realize the real struggle is for the future, not just theirs but humankind's. Reaching The World's End is the least of their worries. (c) Focus Features",R,Comedy,Edgar Wright,Edgar Wright|Simon Pegg,2013-08-23,"Nov 19, 2013",$,33408732,109.0,Focus Features,"Whilst Shaun and Fuzz were content to just throw out gags, this film has more of a message about maturity and the nature of human behaviour.",0.9,fresh,Jennifer Heaton,0,Alternative Lens,"November 1, 2018",1337,76,2013-08-23,The World's End,20000000,26004851,47508505,tt1213663,The World's End,The World's End,2013,109.0,"['Action', 'Comedy', 'Sci-Fi']",7.0,235308,2.37542525
31,1574,"Featuring an all-star comedy cast including Aubrey Plaza, Johnny Simmons, Bill Hader,Alia Shawkat, Sarah Steele, Rachel Bilson, Christopher Mintz-Plasse, DonaldGlover, Scott Porter, Andy Samberg, Connie Britton and Clark Gregg, ""The To Do List"" is a comedy about close friends and a special summer project, loosely inspired by the real-life adventures of first-time writer/director Maggie Carey. Set in 1993, valedictorian Brandy Klark wants to shed her uptight image before college, so she assembles a to do list of all the ""activities"" she missed out on in high school. Quickly realizing that she's way out of her depth, Brandy solicits her best friends, older sister and burnt-out boss for their help and advice. If the group is going to complete the list by September they'll need plenty of imagination and very open minds. (c) CBS Films",R,Comedy,Maggie Carey,Maggie Carey,2013-07-26,"Nov 19, 2013",$,3400000,104.0,CBS Films,"Much like its main character, the raunchy romp The To Do List tries too hard to find too much enjoyment for too long.",0.5,rotten,Brandy McDonnell,0,The Oklahoman,"October 12, 2016",2544,77,2013-07-26,The To Do List,1500000,3491669,4128828,tt1758795,The To Do List,The To Do List,2013,104.0,"['Comedy', 'Romance']",5.8,34524,2.752552
32,1601,"Rango is a sheltered chameleon living as an ordinary family pet, while facing a major identity crisis. After all, how high can you aim when your whole purpose in life is to blend in? When Rango accidentally winds up in the gritty, gun-slinging town of Dirt - a lawless outpost populated by the desert's most wily and whimsical creatures - the less-than-courageous lizard suddenly finds he stands out. Welcomed as the last hope the town has been waiting for, new Sheriff Rango is forced to play his new role to the hilt... -- (C) Paramount",PG,Action and Adventure|Animation|Kids and Family,Gore Verbinski,John Logan,2011-03-04,"Jul 15, 2011",$,123188232,107.0,Paramount Pictures,"The level of detail is awe-inspiring, and originality and charm oozes from every pixel.",0.8,fresh,Matt Knowler,0,CineVue,"November 7, 2018",175,29,2011-03-04,Rango,135000000,123477607,245724600,tt1192628,Rango,Rango,2011,107.0,"['Adventure', 'Animation', 'Comedy']",7.2,215761,1.820182222222222
33,1639,"In this darkly erotic drama from cult filmmaker Jeanne Labrune, Isabelle Huppert stars as a high-class prostitute named Alice who serves up sexual fantasies for her clientele, from schoolgirl innocence to S&amp;M.; Fed up with the seamy underbelly of French masculinity, Alice crosses paths with Xavier, a neurotic psychoanalyst facing a marriage crisis. The two quickly realize their professions share a thing or two in common as they navigate the overlapping worlds of psychotherapy and sex therapy. -- (C) First Run Features",NR,Art House and International|Drama,Jeanne Labrune,Jeanne Labrune|Richard Debuisne,2011-08-26,"Jan 17, 2012",$,8856,95.0,First Run Features,"At the end, there is no great revelation, but Huppert has succeeded once again in making us wonder what's going on in there.",0.75,fresh,Roger Ebert,1,Chicago Sun-Times,"October 6, 2011",2429,64,2011-08-26,Redemption Road,2300000,29384,29384,tt1470020,Redemption Road,Redemption Road,2010,95.0,['Drama'],5.8,479,0.012775652173913
34,1645,"Texas brothers--Toby (Chris Pine), and Tanner (Ben Foster), come together after years divided to rob branches of the bank threatening to foreclose on their family land. For them, the hold-ups are just part of a last-ditch scheme to take back a future that seemed to have been stolen from under them. Justice seems to be theirs, until they find themselves on the radar of Texas Ranger, Marcus (Jeff Bridges) looking for one last grand pursuit on the eve of his retirement, and his half-Comanche partner, Alberto (Gil Birmingham). As the brothers plot a final bank heist to complete their scheme, and with the Rangers on their heels, a showdown looms at the crossroads where the values of the Old and New West murderously collide.",R,Drama|Mystery and Suspense,David Mackenzie,Taylor Sheridan,2016-08-12,"Nov 22, 2016",$,26973524,102.0,Film 44,Hell or High Water is interested in so much more than whether or not the last man standing is the righteous one.,0.7,fresh,Sean Mulvihill,0,FanboyNation.com,"October 31, 2018",1727,77,2016-08-12,Hell or High Water,12000000,27007844,37584304,tt2582782,Hell or High Water,Hell or High Water,2016,102.0,"['Action', 'Crime', 'Drama']",7.6,176469,3.1320253333333334
35,1646,"Director Alexander Payne (Sideways, The Descendants) takes the helm for this black and white road trip drama starring Bruce Dern as a tempestuous Missouri father who's convinced he's won a million dollar magazine sweepstakes, and Will Forte as the son who grudgingly agrees to drive him to Nebraska to claim his winnings. Bob Odenkirk and Stacy Keach costar.",R,Drama,Alexander Payne,Bob Nelson,2013-11-15,"Feb 25, 2014",$,11348612,115.0,Paramount Pictures,One of the most pictorially concentric American films of recent years.,0.8,fresh,PJ Nabarro,0,Patrick Nabarro,"December 2, 2018",1734,91,2013-11-15,Nebraska,12000000,17654912,24761360,tt1821549,Nebraska,Nebraska,2013,115.0,"['Adventure', 'Comedy', 'Drama']",7.7,105304,2.0634466666666667
36,1785,"The director of Mortal Kombat (1995) adapts another popular video game for the big screen with this gory action thriller. Milla Jovovich and Michelle Rodriguez star as Alice and Rain, two members of a commando team assigned to infiltrate the Hive, an underground research laboratory owned by the faceless conglomerate known as the Umbrella Corporation. A bio-engineered virus has been released into the maze-like Hive, turning the facility's employees into mindless, flesh-eating zombies. A single scratch or bite from one of these rampaging ghouls dooms its victim, so the commandos have their work cut out for them as they attempt to reach the Red Queen, the lab's supercomputer -- and their sole hope of halting the spread of the contagion. Before they can complete their mission, however, the soldiers must overcome a variety of deadly obstacles, including mutant dogs, lasers, and a genetically altered beast known as The Licker, whose strength increases with every victim it slays. Alice and Rain also discover that the release of the virus may not have been an accident, and that a cure may exist somewhere in the deadly Hive. Resident Evil co-stars Eric Mabius, James Purefoy, Martin Crewes, and Colin Salmon.",R,Action and Adventure|Horror|Mystery and Suspense,,,2002-03-15,"Jul 30, 2002",$,39532308,100.0,Columbia Tristar Pictures,"A merely acceptable adaptation that feels more like a supernatural thriller with a couple of references to the game, involuntarily funny dialogue, and decent performances, than a terrifying production. [Full review in Spanish]",0.5,fresh,Sebastian Zavala,0,,"December 5, 2016",369,19,2002-03-15,Showtime,85000000,37948765,78948765,tt1720297,Showtime,Yong xin tiao,2010,100.0,"['Drama', 'Fantasy', 'Musical']",4.2,20,0.928809
37,1890,"A misplaced sausage and his savory friends embark on an existential adventure through the aisles of a massive supermarket in this raunchy animated comedy from Seth Rogen and Evan Goldberg. As the store's annual 4th of July sale draws near, the perishable pals must return to their rightful places on the shelves before the customers come flooding in to fill their carts. Conrad Vernon (Monsters vs. Aliens) takes the helm for this Sony Pictures/AnnaPurna Pictures co-production penned by Rogen, Goldberg, Kyle Hunter, and Ariel Shaffirwhich.",R,Animation|Comedy,Conrad Vernon|Greg Tiernan,Kyle Hunter|Ariel Shaffir|Seth Rogen|Evan Goldberg,2016-08-12,"Nov 8, 2016",$,97661826,89.0,Sony Pictures,"It is, simply stated, piss-your-pants funny - both in that I laughed almost hard enough to do that and in that it's the sort of humor where ""pissing your pants"" would be an actual punchline.",0.35,fresh,Bob Chipman,0,Geek,"November 4, 2018",1402,28,2016-08-12,Sausage Party,19000000,97670358,141344255,tt1700841,Sausage Party,Sausage Party,2016,89.0,"['Adventure', 'Animation', 'Comedy']",6.2,159111,7.439171315789474
38,1944,"In the 3D action-comedy The Green Hornet, Britt Reid (Seth Rogen) is the son of LA's most prominent and respected media magnate and perfectly happy to maintain a directionless existence on the party scene - until his father (Tom Wilkinson) mysteriously dies, leaving Britt his vast media empire. Striking an unlikely friendship with one of his father's more industrious and inventive employees, Kato (Jay Chou), they see their chance to do something meaningful for the first time in their lives: fight crime. To get close to the criminals, they come up with the perfect cover: they'll pose as criminals themselves. Protecting the law by breaking it, Britt becomes the vigilante The Green Hornet as he and Kato hit the streets. Using all his ingenuity and skill, Kato builds the ultimate in advanced retro weaponry, Black Beauty, an indestructible car equal parts firepower and horsepower. Rolling in a mobile fortress on wheels and striking the bad guys with Kato's clever gadgets, The Green Hornet and Kato quickly start making a name for themselves, and with the help of Britt's new secretary, Lenore Case (Cameron Diaz), they begin hunting down the man who controls LA's gritty underworld: Benjamin Chudnofsky (Christoph Waltz). But Chudnofsky has plans of his own: to swat down The Green Hornet once and for all. -- (C) Sony",PG-13,Action and Adventure|Comedy|Science Fiction and Fantasy,Michel Gondry,Evan Goldberg|Seth Rogen,2011-01-14,"May 3, 2011",$,98000000,119.0,Sony Pictures,The whole film feels fairly self indulgent on Seth Rogen's part. It's rather dull and quite a letdown.,0.4,rotten,Will Chadwick,0,We Got This Covered,"August 10, 2013",271,29,2011-01-14,The Green Hornet,110000000,98780042,229155503,tt0990407,The Green Hornet,The Green Hornet,2011,119.0,"['Action', 'Comedy', 'Crime']",5.8,148622,2.0832318454545455
39,1981,"Money, Fame and the Knowledge of English. In India, these 3 factors play a huge role in how society judges an individual. English Vinglish is the story of a woman who does not know English and is made to feel insecure by her family and society at large. The film is a light-hearted yet touching and transformational journey of Shashi. Circumstances make her determined to overcome this insecurity, master the language, teach the world a lesson on the way to becoming a self assured and confident woman. The film is shot mostly in New York and captures the inherent struggle of many people all over the world with the English Language. Hilarious, touching, sensitive, this film marks the come back of India's biggest female star...Sridevi. -- (C) Official Site",NR,Comedy|Drama,Gauri Shinde,Gauri Shinde,2012-10-05,"Nov 20, 2012",$,1416189,129.0,Eros Entertainment,"A capable supporting cast and a fun cameo from a male megastar add to the appeal of this slight, enjoyable but ultimately predictable journey.",0.6,fresh,Anil Sinanan,1,Time Out,"October 23, 2017",1999,30,2012-10-05,Wuthering Heights,8000000,100915,2721534,tt1181614,Wuthering Heights,Wuthering Heights,2011,129.0,"['Drama', 'Romance']",6.1,8549,0.34019175
